id,month,year,tkn_mg_l,tot_precip
Big_Ck,July,2004,0.39,83.375
Big_Ck,July,2005,0.4075,74.9
Big_Ck,July,2006,0.39,109.725
Big_Ck,July,2007,0.355,92.825
Big_Ck,July,2008,1.5575,114.375
Big_Ck,July,2009,0.4,112.4
Big_Ck,July,2011,0.44,82.45
Big_Ck,June,1979,0.55,86.4
Big_Ck,June,1980,0.415,99.15
Big_Ck,June,1981,0.725,118.1
Big_Ck,June,1982,0.5833333,98.4
Big_Ck,June,1983,0.35333332,61.1
Big_Ck,June,1984,0.5233333,51.8
Big_Ck,June,1985,0.38333333,59.275
Big_Ck,June,1986,0.45666668,97.375
Big_Ck,June,1987,0.39666668,100.45
Big_Ck,June,1988,0.45,53.225
Big_Ck,June,1989,0.5,88.6
Big_Ck,June,1990,0.625,76.25
Big_Ck,June,1991,0.435,20.975
Big_Ck,June,1995,0.49333334,64.9
Big_Ck,June,2001,0.56,68.525
Big_Ck,June,2003,0.71,67.575
Big_Ck,June,2004,0.3925,76.775
Big_Ck,June,2005,0.405,61.825
Big_Ck,June,2006,0.4975,68
Big_Ck,June,2007,0.4625,55.55
Big_Ck,June,2008,0.54,120.9
Big_Ck,June,2009,0.4875,90.3
Big_Ck,June,2010,0.5175,147.65
Big_Ck,June,2011,0.54333335,103.425
Big_Ck,May,1979,0.5025,92.325
Big_Ck,May,1980,0.435,63.675
Big_Ck,May,1981,0.54,81.475
Big_Ck,May,1982,0.41,48.65
Big_Ck,May,1983,0.9433333,131.175
Big_Ck,May,1984,0.5233333,102.275
Big_Ck,May,1985,0.40666667,76.2
Big_Ck,May,1986,0.46,93.5
Big_Ck,May,1988,0.51,37.05
Big_Ck,May,1989,0.675,92.275
Big_Ck,May,1990,0.765,86.675
Big_Ck,May,1991,0.485,102.425
Big_Ck,May,2001,0.64,90.675
Big_Ck,May,2002,0.53333336,92.75
Big_Ck,May,2003,0.4825,132.45
Big_Ck,May,2004,0.895,137.375
Big_Ck,May,2005,0.4475,28.35
Big_Ck,May,2006,0.3,93.4
Big_Ck,May,2008,0.534,90.525
Big_Ck,May,2009,0.4975,68.9
Big_Ck,May,2010,0.6475,74.95
Big_Ck,May,2011,0.98333335,124.55
Big_Ck,October,1979,0.46,78.3
Big_Ck,October,1980,0.515,81.15
Big_Ck,October,1981,0.69,108.925
Big_Ck,October,1982,0.34,48.875
Big_Ck,October,1983,0.34,100.95
Big_Ck,October,1984,0.30333334,47.275
Big_Ck,October,1985,0.45333332,98.1
Big_Ck,October,1986,0.44333333,75.325
