station_number,year,month,monthly_mean,min,max
02GE004,1982,10,1.51300001144409,1.41999995708466,1.67999994754791
02GE004,1982,11,1.86099994182587,1.46000003814697,2.5699999332428
02GE004,1982,12,2.17899990081787,1.57000005245209,2.94000005722046
02GE004,1983,1,1.66799998283386,1.54999995231628,1.95000004768372
02GE004,1983,2,1.71000003814697,1.49000000953674,2.13000011444092
02GE004,1983,3,1.67599999904633,1.54999995231628,1.86000001430511
02GE004,1983,4,1.89699995517731,1.25,2.28500008583069
02GE004,1983,5,2.14299988746643,1.80999994277954,3.29999995231628
02GE004,1983,6,1.9539999961853,1.87000000476837,2.0699999332428
02GE004,1983,7,1.98800003528595,1.89999997615814,2.66000008583069
02GE004,1983,8,2.06900000572205,1.87999999523163,2.91000008583069
02GE004,1983,9,1.84399998188019,1.76999998092651,1.96000003814697
02GE004,1983,10,1.73599994182587,1.64999997615814,1.95000004768372
02GE004,1983,11,1.76400005817413,1.61000001430511,1.97000002861023
02GE004,1983,12,2.13700008392334,1.74000000953674,2.96000003814697
02GE004,1984,1,1.74000000953674,1.67999994754791,1.86000001430511
02GE004,1984,2,2.8970000743866,1.62000000476837,5.62799978256226
02GE004,1984,3,2.30299997329712,1.73000001907349,3.23000001907349
02GE004,1984,4,1.57599997520447,1.27999997138977,2.40000009536743
02GE004,1984,5,1.82500004768372,1.62999999523163,2.04800009727478
02GE004,1984,9,1.89199995994568,1.81700003147125,1.98399996757507
02GE004,1984,10,1.77699995040894,1.74399995803833,1.86500000953674
02GE004,1984,11,1.8639999628067,1.66400003433228,2.24600005149841
02GE004,1984,12,1.84599995613098,1.66400003433228,2.69000005722046
02GE004,1985,1,,,
02GE004,1985,2,,,
02GE004,1985,3,,,
02GE004,1985,4,,,
02GE004,1985,5,,,
02GE004,1985,6,,,
02GE004,1985,7,,,
02GE004,1985,8,,,
02GE004,1985,9,,,
02GE004,1985,10,,,
02GE004,1985,11,,,
02GE004,1985,12,,,
02GE004,1986,1,,,
02GE004,1986,2,,,
02GE004,1986,3,,,
02GE004,1986,8,2.23600006103516,2.18099999427795,2.28200006484985
02GE004,1986,9,2.27699995040894,2.00999999046326,2.98099994659424
02GE004,1986,10,2.60599994659424,2.23699998855591,3.88499999046326
02GE004,1986,11,2.21099996566772,2.10400009155273,2.40400004386902
02GE004,1986,12,2.29699993133545,2.15499997138977,2.62299990653992
02GE004,1987,1,,,
02GE004,1987,2,,,
02GE004,1987,3,,,
02GE004,1987,4,2.32100009918213,1.99500000476837,3.29699993133545
02GE004,1987,5,1.96599996089935,1.92499995231628,2.00500011444092
02GE004,1987,6,1.9889999628067,1.94200003147125,2.04500007629395
02GE004,1987,7,1.97500002384186,1.9099999666214,2.0550000667572
02GE004,1987,8,1.9190000295639,1.86800003051758,1.97099995613098
02GE004,1987,9,1.84500002861023,1.78299999237061,1.89999997615814
02GE004,1987,10,,,
02GE004,1987,11,,,
02GE004,1987,12,1.97899997234344,1.64900004863739,2.48499989509583
02GE004,1988,1,1.67400002479553,1.55499994754791,1.81500005722046
02GE004,1988,2,1.72399997711182,1.56299996376038,2.04900002479553
02GE004,1988,3,1.88800001144409,1.55999994277954,2.8199999332428
02GE004,1988,4,1.75199997425079,1.557000041008,2.15000009536743
02GE004,1988,5,1.58899998664856,1.52900004386902,1.68099999427795
02GE004,1988,6,1.62699997425079,1.57099997997284,1.70200002193451
02GE004,1988,7,1.55599999427795,1.50499999523163,1.64600002765656
02GE004,1988,8,1.53600001335144,1.50600004196167,1.57599997520447
02GE004,1988,9,1.44500005245209,1.36099994182587,1.63900005817413
02GE004,1988,10,1.40100002288818,1.2940000295639,1.48699998855591
02GE004,1988,11,1.53999996185303,1.29499995708466,1.91299998760223
02GE004,1988,12,1.46399998664856,1.317999958992,2.125
02GE004,1989,1,1.49000000953674,1.30999994277954,1.83599996566772
02GE004,1989,2,,,
02GE004,1989,3,1.44000005722046,1.23300004005432,2.17799997329712
02GE004,1989,4,1.63900005817413,1.4099999666214,2.14800000190735
02GE004,1989,5,1.48599994182587,1.40199995040894,1.74199998378754
02GE004,1989,6,1.71599996089935,1.5789999961853,1.8860000371933
02GE004,1989,7,1.66700005531311,1.61899995803833,1.72399997711182
02GE004,1989,8,1.58399999141693,1.52499997615814,1.67299997806549
